Employee_id,First_Name,Last_Name,Gender,Salary,Date_of_Birth,Age,Country,Department_id,Date_of_Joining,Manager_id,Currency,End_Date
78,Cherri,Allsworth,Male,72294,18/09/1985,19,China,7,02/08/2017,2,INR,15/09/2019
79,Clovis,Pellatt,Male,129449,05/09/1990,-7,Sweden,11,18/01/2011,16,INR,03/04/2018
80,Halsey,Sine,Male,118316,23/09/1992,56,Brazil,7,04/05/2012,3,INR,22/12/2020
81,Orv,Hawkyens,Female,77003,18/04/1985,35,Australia,14,18/08/2011,15,AUD,21/03/2020
82,Carolan,Casperri,Female,97843,26/12/1983,58,Germany,17,29/06/2013,16,AUD,02/08/2020
83,Willard,Sprake,Female,106795,18/02/1985,8,Australia,10,11/07/2014,10,AUD,22/09/2019
84,Dorise,Dalgliesh,Female,86416,18/06/1980,25,Brazil,6,31/12/2012,9,INR,05/08/2020
85,Gabbie,Cowlin,Female,78706,30/10/1986,52,India,14,01/03/2010,12,AUD,13/07/2019
86,Jamie,Coslett,Female,99234,23/07/1980,27,Germany,2,25/02/2012,6,INR,24/02/2020
87,Leigh,Flintiff,Male,120479,27/02/1982,9,Denmark,17,13/09/2017,16,INR,12/10/2019
88,Griswold,Moorey,Female,129038,07/04/1989,2,UAE,2,21/06/2012,20,AUD,19/04/2020
89,Kathryn,Saterweyte,Female,92305,25/05/1990,37,Sweden,10,06/03/2013,10,INR,06/06/2018
90,Connor,Kinner,Female,125123,11/05/1982,-17,Brazil,13,20/02/2016,8,INR,22/08/2018
91,Quent,Perring,Male,99660,16/12/1981,50,Sweden,6,25/03/2017,3,INR,06/09/2018
92,Berenice,Speechly,Female,129430,13/02/1989,19,Denmark,20,26/05/2018,11,INR,12/01/2019
93,Henrieta,Macey,Female,71971,28/09/1988,-5,Australia,15,25/10/2013,11,INR,22/12/2019
94,Durant,Wipfler,Female,129746,26/01/1982,25,UAE,12,15/07/2016,17,AUD,16/01/2019
95,Frederique,Bockin,Male,104141,30/08/1992,37,Brazil,9,02/06/2011,15,INR,10/03/2020
96,Georgy,Nestle,Female,123209,14/07/1982,20,China,16,11/03/2010,2,AUD,30/03/2020
97,Felic,Burgiss,Female,92172,25/07/1983,49,Brazil,2,14/02/2010,20,AUD,05/03/2018
98,Sophie,Landsberg,Male,83542,07/02/1992,8,USA,13,01/11/2017,6,INR,07/04/2019
99,Lorrin,Judkin,Male,127423,04/07/1981,15,Denmark,15,13/06/2014,2,INR,22/11/2020
100,Dora,Tomasik,Male,74397,19/11/1981,41,Brazil,15,04/07/2013,14,AUD,31/10/2020
101,Cecilia,Mattsson,Female,109738,28/06/1983,49,USA,18,22/03/2013,13,AUD,15/03/2018
102,Sander,Kernocke,Male,98134,15/03/1992,-12,Denmark,14,21/07/2010,18,AUD,22/05/2018
103,Gwenneth,Cluett,Male,62715,15/05/1991,-14,India,20,12/12/2012,11,AUD,12/05/2019
104,Maryanne,Halfacre,Female,80523,26/01/1982,10,UAE,4,14/09/2013,16,AUD,14/07/2018
105,Lura,Brettelle,Male,127906,01/11/1990,54,Sweden,6,30/04/2013,2,AUD,24/01/2020
106,Winne,Barwise,Female,113048,01/07/1990,58,Australia,12,06/06/2013,16,INR,06/10/2020
107,Lucian,Orgee,Female,111479,20/02/1992,-16,Denmark,8,27/04/2010,6,AUD,25/05/2020
108,Husain,Scannell,Male,95944,21/01/1983,-3,Germany,20,13/10/2014,19,AUD,09/01/2018
109,Carce,Binnie,Male,77073,29/09/1990,-14,Denmark,13,25/06/2014,14,INR,08/03/2020
110,Gusti,Grahlmans,Male,96854,13/02/1988,58,Sweden,14,07/11/2012,1,INR,07/04/2019
111,Lin,Ogbourne,Female,105222,18/11/1991,-5,Germany,12,25/09/2011,13,AUD,07/05/2020
112,Becky,Rapinett,Female,63501,22/07/1985,15,Denmark,20,02/11/2010,4,INR,19/01/2018
113,Rafaellle,Baignard,Male,116503,25/01/1990,53,Japan,9,29/09/2010,15,AUD,19/10/2019
114,Saundra,Pietzker,Female,111724,08/04/1983,11,Canada,3,17/11/2016,4,INR,18/03/2018
115,Nicola,Tracy,Female,72646,05/04/1992,14,Denmark,14,01/12/2015,3,AUD,19/07/2019
116,Colline,Teese,Female,129475,07/09/1987,32,UAE,15,08/10/2017,9,INR,28/02/2020
117,Alexina,Kindon,Female,60311,04/10/1983,3,Japan,4,29/12/2013,16,AUD,08/05/2020
118,Raine,Gwyer,Male,92622,23/03/1992,21,Canada,5,11/07/2010,10,AUD,04/02/2019
119,Jerrie,Giacobillo,Male,103119,04/12/1985,-18,Sweden,2,20/12/2011,4,AUD,09/01/2019
120,Buddie,Gilleson,Female,111069,16/11/1987,37,Brazil,6,26/07/2010,12,INR,24/07/2019
121,Ahmad,Mizzen,Male,116304,24/10/1984,15,Australia,4,25/11/2017,19,INR,10/11/2018
122,Florian,Bogey,Male,124783,17/10/1983,2,Sweden,6,28/07/2013,18,INR,23/11/2020
123,Lucy,Attenborough,Male,108264,17/10/1990,5,USA,7,29/11/2011,1,AUD,20/08/2020
124,Ania,Tollit,Female,101929,11/04/1985,24,Sweden,18,14/11/2018,9,AUD,26/06/2018
125,Blithe,Healy,Female,71339,12/01/1983,60,Germany,9,14/07/2010,10,INR,23/10/2018
126,Ashli,Birds,Male,100634,27/01/1989,10,Canada,11,06/03/2012,8,AUD,04/06/2019
127,Dulcy,Longdon,Female,95664,24/04/1989,-8,China,13,05/11/2016,16,AUD,09/04/2019
128,Venita,Pinsent,Male,61994,29/06/1980,25,Germany,17,19/02/2014,10,INR,21/07/2020
129,Eadie,Brand,Male,69346,01/09/1989,-18,China,13,14/02/2011,17,INR,30/04/2019
130,Viv,Blenkinsop,Female,74898,07/10/1992,23,Germany,7,23/10/2016,4,INR,14/11/2020
131,Elke,Chatelot,Female,121858,21/08/1981,2,China,6,01/07/2017,9,INR,25/11/2019
132,Andrus,Ambresin,Male,90937,09/03/1991,57,Sweden,11,13/02/2017,15,INR,15/09/2018
133,Ulysses,Ianittello,Female,93821,30/04/1981,18,UAE,9,28/10/2013,15,AUD,05/01/2020
134,Andy,Sinclar,Female,102541,22/09/1992,-4,Canada,19,13/08/2016,12,AUD,20/11/2018
135,Raynor,Morrallee,Male,77493,21/02/1988,47,UAE,8,18/06/2017,16,AUD,19/07/2019
136,Brynn,Briat,Female,96822,08/06/1986,16,Germany,13,14/07/2012,9,INR,05/09/2018
137,Mohandis,Voce,Male,107765,06/02/1987,2,USA,10,22/04/2013,16,AUD,15/07/2018
138,Eugen,Aish,Male,108156,14/04/1990,3,Canada,15,08/10/2017,5,AUD,18/10/2020
139,Susana,Gallgher,Female,86199,16/08/1990,34,USA,16,16/12/2018,18,INR,16/10/2018
140,Kit,Causton,Male,66070,25/08/1981,-3,USA,17,12/01/2012,20,AUD,21/05/2019
141,Sephira,Steiner,Female,107362,28/05/1981,-4,China,20,09/05/2017,5,INR,09/05/2020
142,Chelsea,Frewer,Female,100998,02/01/1984,57,USA,4,11/05/2018,1,INR,21/01/2020
143,Jamil,Ray,Female,105468,28/05/1985,15,Denmark,4,29/08/2014,13,AUD,19/02/2020
144,Torry,Lawlance,Male,104218,06/09/1982,20,China,10,19/03/2015,5,INR,16/01/2019
145,Ruthanne,Estrella,Female,71028,02/12/1992,28,Japan,20,13/10/2013,3,INR,07/08/2019
146,Cart,Pashen,Female,101047,17/07/1989,-16,Japan,10,16/02/2014,18,INR,22/05/2020
147,Scott,Lovel,Female,120469,27/03/1983,35,Canada,19,27/06/2017,11,INR,12/07/2020
148,Abdel,Phlippi,Female,125549,19/05/1988,-6,USA,8,06/02/2014,3,INR,25/05/2019
149,Sheri,De Goey,Male,70377,17/06/1990,21,Denmark,15,06/04/2013,14,AUD,03/11/2019
150,Cesaro,Rummin,Female,64761,21/05/1990,44,Brazil,20,16/05/2015,18,INR,15/07/2019
151,Horace,Gillett,Male,127440,04/09/1983,-13,Brazil,16,15/10/2012,20,AUD,06/07/2018
152,Nanci,Hanwell,Female,129427,10/12/1983,18,Denmark,19,03/11/2016,17,AUD,04/11/2019
153,Lizzie,Norrington,Male,66227,17/08/1985,59,Australia,15,07/12/2012,19,INR,08/05/2018
154,Lexi,Wrathmall,Female,115735,08/10/1988,13,Australia,11,21/06/2014,10,AUD,04/09/2020
155,Murry,Wareham,Male,115902,16/01/1992,32,Germany,11,09/06/2014,5,AUD,12/04/2019
156,Lanie,Kaygill,Female,97893,01/07/1980,17,Sweden,14,01/12/2011,15,AUD,19/01/2020
157,Milt,Damarell,Female,61658,11/03/1985,3,USA,12,11/03/2013,17,AUD,12/05/2018
158,Olivette,Merriott,Male,109913,14/10/1981,41,India,19,16/12/2014,8,INR,12/08/2019
159,Farly,Muge,Male,116381,10/01/1991,-1,Brazil,1,18/11/2017,20,AUD,24/05/2020
160,Keslie,Flieger,Male,69798,17/05/1981,8,Germany,13,17/02/2017,20,INR,28/12/2020
161,Aldrich,Espada,Female,68017,16/11/1986,59,Germany,16,26/11/2014,14,AUD,02/11/2020
162,Modestia,Hillburn,Female,61359,15/09/1980,-9,Sweden,13,13/10/2011,14,AUD,01/09/2018
163,Sylvan,Bigg,Male,125077,11/08/1983,-16,USA,6,13/09/2015,11,AUD,18/10/2020
164,Candi,Evequot,Male,129532,18/08/1992,3,Japan,12,13/05/2010,8,INR,08/02/2020
165,Caspar,Padbury,Male,71627,15/02/1987,51,Germany,13,15/11/2018,9,AUD,21/09/2018
166,Gabby,Reijmers,Female,115489,28/06/1985,-3,China,7,27/06/2013,1,AUD,23/03/2020
167,Crawford,Handscombe,Male,105299,07/05/1981,51,Brazil,6,03/10/2017,12,AUD,28/04/2018
168,Ralina,Junkison,Male,87917,31/07/1982,17,Australia,7,16/01/2017,18,AUD,13/02/2019
169,Federica,Gannaway,Male,124780,03/09/1988,29,Germany,12,04/01/2016,12,AUD,10/11/2019
170,Den,Molnar,Female,76168,16/10/1985,29,China,10,24/06/2010,9,INR,16/05/2018
171,Joachim,Loakes,Male,81453,28/03/1992,2,Brazil,3,20/12/2018,20,AUD,11/10/2018
172,Giles,Berkery,Female,61380,13/08/1985,-3,China,14,26/05/2012,18,AUD,18/01/2020
173,Elizabeth,Noel,Female,96677,20/02/1987,15,Denmark,16,22/11/2010,18,AUD,24/10/2019
174,Lenci,Dow,Male,61839,29/04/1981,31,India,7,15/03/2013,5,AUD,01/06/2019
175,Nikos,Micallef,Male,66804,01/08/1989,-5,Australia,3,26/06/2016,3,INR,02/05/2018
176,Nelly,Dower,Female,65555,10/09/1985,41,Brazil,14,29/11/2015,6,AUD,07/12/2020
177,Chicky,Aylett,Female,113941,23/11/1986,32,Brazil,18,18/08/2015,17,AUD,31/03/2019
178,Sibyl,Pitkin,Male,85776,25/09/1983,28,Australia,3,31/01/2012,15,INR,01/08/2018
179,Tiffany,Siman,Male,69985,18/06/1987,10,Canada,20,25/03/2011,15,INR,25/09/2020
180,Emelia,McGuiness,Female,115307,01/05/1986,41,Sweden,2,06/05/2011,2,INR,14/09/2018
181,Putnem,Creegan,Female,81199,24/11/1982,-17,USA,3,03/10/2018,13,AUD,08/12/2018
182,Korie,Rossbrooke,Male,80250,14/11/1991,6,USA,11,29/07/2010,12,AUD,20/10/2018
183,Boot,Hastewell,Male,129593,21/09/1987,-16,Brazil,14,06/09/2012,9,AUD,12/05/2020
184,Mead,Babbidge,Female,78743,23/11/1988,56,Japan,4,20/10/2016,5,AUD,31/01/2019
185,Jeanne,Cinavas,Female,120998,12/04/1984,32,Canada,16,22/04/2018,6,AUD,28/07/2019
186,Bernard,Jopp,Female,112579,14/08/1989,4,India,19,19/02/2016,6,AUD,18/09/2020
187,Ricky,Standell,Male,104280,25/06/1992,2,India,18,11/02/2018,8,INR,25/09/2019
188,Vivyanne,Mains,Male,68336,08/06/1986,11,China,13,06/09/2017,5,AUD,28/08/2018
189,Hallie,Mac Giolla Pheadair,Male,123979,29/08/1983,-17,Brazil,13,05/08/2013,2,INR,05/06/2019
190,Bren,Riggott,Male,86608,09/08/1982,23,USA,2,19/05/2014,11,AUD,16/01/2020
191,Lester,Wymer,Male,76611,27/07/1987,38,China,3,24/07/2018,6,INR,01/12/2018
192,Irena,Scrauniage,Male,113362,26/03/1981,27,Germany,16,16/09/2013,11,AUD,29/04/2018
193,Lyndell,Andrivot,Female,103914,31/08/1983,58,Canada,16,02/08/2015,1,AUD,09/02/2018
194,Kris,Gudyer,Male,81631,09/08/1985,-3,China,17,29/06/2018,13,AUD,26/09/2019
195,Sosanna,O'Hoolahan,Female,91075,01/07/1992,10,Canada,9,25/06/2018,6,INR,27/01/2020
196,Glad,Sharrem,Male,84973,02/11/1980,9,USA,11,08/07/2018,14,INR,14/08/2020
197,Daniela,Hallas,Female,126745,09/08/1991,9,Japan,2,28/10/2018,8,INR,01/12/2020
198,Fiorenze,Reddington,Female,75554,31/12/1982,21,Germany,19,13/06/2013,11,AUD,30/10/2018
199,Glynis,Mityakov,Female,80832,18/02/1991,10,Germany,18,21/06/2013,12,AUD,09/10/2019
200,Gran,Enocksson,Female,79034,02/08/1985,-11,China,8,04/09/2013,7,AUD,22/01/2018
201,Jada,Mara,Female,101128,05/12/1983,-2,Brazil,18,11/02/2014,11,AUD,01/11/2020
202,Teddi,Dennehy,Male,112005,16/10/1984,59,Australia,4,18/02/2011,3,INR,30/03/2018
203,Abner,Van Driel,Male,121817,26/01/1989,16,Japan,16,05/02/2013,14,AUD,05/10/2019
204,Josselyn,Jukubczak,Male,95827,20/04/1981,0,Japan,17,14/11/2018,19,AUD,27/08/2018
205,Hammad,Gheorghie,Female,61128,18/07/1986,43,Australia,16,20/03/2016,2,AUD,18/10/2018
206,Illa,Leathley,Female,111090,30/06/1983,32,Germany,2,25/01/2010,14,INR,28/10/2018
207,Rees,Limeburner,Female,71493,08/06/1983,20,Brazil,12,22/11/2011,9,INR,14/12/2019
208,Milli,Northidge,Male,89918,30/09/1985,28,Japan,13,01/05/2010,19,AUD,22/09/2020
209,Taffy,Skullet,Male,116884,28/12/1991,-13,USA,1,08/04/2017,1,AUD,30/03/2020
210,Zandra,Caldeyroux,Male,74391,29/09/1984,42,Sweden,4,27/11/2010,3,AUD,09/11/2020
211,Raf,Attwood,Female,116291,05/07/1988,5,Australia,12,21/01/2014,6,INR,13/07/2020
212,Bonnibelle,Tudgay,Male,81402,01/03/1991,37,Canada,7,10/10/2018,11,INR,01/04/2019
213,Liva,Vanderplas,Male,76753,22/08/1985,16,China,9,15/02/2012,20,INR,04/10/2020
214,Bessy,MacKimm,Female,129959,26/09/1990,-9,Brazil,3,20/03/2015,2,INR,27/12/2020
215,Theresita,MacCracken,Female,105873,04/01/1986,-14,Canada,2,04/03/2013,2,INR,22/07/2020
216,Horatius,Skeeles,Female,94344,30/06/1982,17,India,4,29/09/2018,6,INR,08/09/2019
217,Matty,Uphill,Male,70059,26/09/1985,45,Germany,1,17/04/2012,3,INR,26/10/2018
218,Anette,Brise,Male,67207,27/06/1980,30,India,7,27/11/2017,20,AUD,10/05/2020
219,Ruperta,Manicom,Male,124636,08/08/1987,54,Australia,14,07/02/2016,7,AUD,07/01/2020
220,Franchot,Langcaster,Male,118114,19/10/1982,2,Australia,10,29/08/2018,2,AUD,09/05/2020
221,Celka,Bellon,Male,67265,07/11/1980,-10,Japan,16,10/09/2011,5,INR,20/09/2018
222,Jarret,Lidgard,Female,78596,01/11/1985,22,Denmark,10,04/11/2010,6,AUD,21/09/2018
223,Gabie,Massinger,Male,111943,04/03/1987,57,Canada,20,10/12/2018,11,INR,26/06/2019
224,Concordia,Lemmertz,Male,76000,22/05/1989,17,China,12,18/05/2012,17,AUD,24/09/2019
225,Irv,Del Dello,Male,99748,25/08/1987,57,China,13,10/05/2018,6,INR,17/02/2019
226,Kellia,Bohl,Female,129578,01/05/1980,25,Australia,11,29/01/2016,19,INR,18/05/2018
227,Amos,De Banke,Male,62685,15/06/1992,44,Denmark,9,02/09/2014,11,AUD,26/08/2019
228,Prisca,McGhee,Female,68168,15/09/1981,-10,UAE,16,27/06/2018,11,AUD,10/09/2019
229,Doralynne,Wheildon,Male,96166,03/02/1992,17,China,1,15/08/2012,14,AUD,22/05/2019
230,Meryl,Margetts,Female,126466,25/11/1985,11,India,2,07/08/2013,18,INR,23/03/2019
231,Zoe,Bautiste,Male,61323,12/11/1987,18,Sweden,14,29/05/2014,12,AUD,20/11/2020
232,Goddart,Tiebe,Male,103097,29/03/1989,-12,Brazil,2,30/11/2014,2,AUD,01/08/2018
233,Dagmar,Simmings,Male,73268,09/04/1988,51,USA,18,02/12/2012,10,INR,27/08/2018
234,Karalynn,Jermey,Male,84520,02/08/1986,-3,Australia,17,04/02/2018,6,INR,24/07/2019
235,Christoper,Canfer,Female,61003,03/11/1988,20,Denmark,10,12/01/2013,13,INR,28/03/2018
236,Letti,Boyles,Female,73237,30/06/1984,32,Brazil,14,05/11/2017,7,INR,31/07/2020
237,Eliza,Boame,Female,97187,27/07/1985,54,Canada,5,27/07/2010,14,INR,10/06/2018
238,Harmonie,Roache,Female,119166,25/03/1980,-14,USA,17,21/01/2016,3,AUD,09/08/2018
239,Sutton,Threadgall,Female,68422,05/06/1981,23,USA,18,07/07/2014,1,AUD,30/08/2018
240,Dasie,Mably,Female,129977,10/03/1992,-12,Canada,5,22/04/2017,7,INR,01/07/2020
241,Oralia,Bemrose,Female,122053,02/05/1991,-8,China,7,31/10/2013,16,AUD,11/02/2019
242,Eleanore,Snadden,Male,125335,29/05/1985,35,Germany,19,22/09/2012,18,AUD,18/11/2018
243,Mace,Genese,Female,88662,23/07/1984,28,Japan,2,21/05/2016,11,AUD,06/10/2020
244,Noland,Tully,Female,103009,02/07/1989,-18,USA,15,10/03/2011,1,INR,27/11/2019
245,Demetris,Basil,Female,92390,11/07/1989,-13,Australia,9,30/05/2016,20,AUD,15/05/2020
246,Kaja,Swede,Male,74558,08/01/1981,9,Denmark,3,04/06/2017,14,AUD,10/08/2018
247,Yorgos,Thorns,Male,95121,13/05/1990,52,Brazil,4,26/09/2011,1,INR,24/05/2019
248,Gabi,Buist,Male,86551,17/03/1983,17,UAE,6,02/08/2016,16,INR,14/03/2019
249,Dean,Newburn,Female,90673,09/06/1986,45,UAE,12,29/06/2018,7,INR,07/05/2020
250,Melania,Fancet,Male,60812,29/05/1990,27,Brazil,9,25/04/2011,12,AUD,28/01/2020
251,Lavinia,Comini,Female,79583,21/10/1985,33,Australia,17,13/01/2012,3,AUD,11/05/2020
252,Jae,Owtram,Female,75882,08/05/1989,48,Brazil,8,07/07/2017,17,AUD,15/08/2019
253,Oberon,Syer,Male,108064,19/05/1983,41,China,2,27/12/2016,18,AUD,26/03/2019
254,Zolly,Neylon,Female,96715,08/11/1992,57,Japan,11,23/06/2013,11,INR,04/08/2019
255,Melonie,Farries,Female,79108,22/02/1988,59,Japan,14,24/03/2018,15,INR,08/08/2018
256,Alfreda,Oblein,Female,127330,29/11/1992,-4,Germany,12,28/05/2012,12,INR,05/05/2020
257,Dulcine,Gregr,Male,113725,19/03/1987,11,USA,12,25/03/2018,1,INR,07/03/2018
258,Renaud,Beauvais,Female,127558,11/08/1990,35,Brazil,11,14/01/2016,2,INR,28/02/2019
259,Katrine,Skipper,Female,97166,17/09/1984,40,Brazil,17,14/07/2011,11,INR,23/07/2019
260,Min,Blackaller,Male,113759,29/02/1984,48,Denmark,4,20/09/2016,2,AUD,24/07/2018
261,Tannie,Dacres,Male,98817,10/10/1985,48,UAE,14,16/02/2012,11,INR,25/05/2020
262,Layton,McClelland,Male,107331,27/12/1988,-17,UAE,20,26/03/2014,20,INR,07/02/2018
